,,close,high,low,open,volume,
symbol,time,,,,,,
AMZN R735QTJ8XC9X,2020.9.23,3128.99,3133.99,3000.2,3034.9,6602279,
,2020.9.24,2999.86,3126.999,2992.2,3123.59,5390348,
,2020.9.25,3019.79,3069.4,2964.98,2977.79,5286029,
,2020.9.26,3095.13,3101.4,2998.86,3054.86,4267483,
,2020.9.29,3174.05,3175.04,3117.27,3148.85,3854308,
,2020.9.30,3144.88,3188.46,3132.67,3175.39,3241582,
,2020.10.1,3148.73,3212.75,3133.33,3141.14,4691826,
,2020.10.2,3221.26,3224.2,3172.17,3208.4,4754782,
,2020.10.3,3125,3195.62,3122.93,3152.12,5190963,
,2020.10.6,3199.2,3202.82,3140.86,3145.6,3524538,
,2020.10.7,3099.96,3182.77,3090,3162.96,4850530,
,2020.10.8,3195.69,3200.19,3132.09,3135,4094282,
,2020.10.9,3190.55,3233.8,3174.46,3226,3002996,
,2020.10.10,3286.65,3289,3197.25,3210,4667892,
,2020.10.13,3442.93,3496.38,3339,3348.5,7870534,
,2020.10.14,3443.63,3492.44,3424.05,3467.09,5293071,
,2020.10.15,3363.71,3465,3340,3447,5595357,
,2020.10.16,3338.65,3356,3280,3290.36,4787627,
,2020.10.17,3159,3399.72,3159,3370.69,5869763,
,2020.10.20,3207.21,3329,3192.33,3299.61,4931600,
,2020.10.21,3217.01,3266.06,3192.01,3223.06,4265410,
,2020.10.22,3184.94,3233.62,3160,3206.26,4299574,
,2020.10.23,3176.4,3198.75,3121.45,3188.41,3985343,
,2020.10.24,3204.4,3205.72,3139.71,3189.48,3247279,
,2020.10.27,3207.04,3282.51,3153.04,3199.63,5683529,
,2020.10.28,3286.33,3291.77,3211.3,3225,4057144,
,2020.10.29,3162.78,3264.65,3162.2,3254.99,5330371,
,2020.10.30,3211.01,3261.8787,3164.14,3201.27,5716540,
,2020.10.31,3036.15,3169.39,3018.83,3157.75,8104989,
,2020.11.3,3004.48,3079.58,2950.12,3061.74,7062025,
,2020.11.4,3048.41,3075,2980.52,3017.67,4685396,
,2020.11.5,3241.16,3244.85,3139,3161.24,6343695,
,2020.11.6,3322,3366.89,3288.88,3319.97,5349216,
,2020.11.7,3311.37,3322.32,3232.32,3303.62,4431231,
,2020.11.10,3143.74,3289.21,3111.65,3230,6338262,
,2020.11.11,3035.02,3114,3019.01,3095.02,6222418,
,2020.11.12,3137.39,3139.37,3050,3061.78,3883461,
,2020.11.13,3110.28,3175.51,3086.07,3158,4121971,
,2020.11.14,3128.81,3141.96,3085.21,3122.82,3601006,
,2020.11.17,3131.06,3143,3072.685,3085.62,3527646,
,2020.11.18,3135.66,3185.555,3135,3181.22,3088520,
,2020.11.19,3105.46,3140,3105.1,3134,2750858,
,2020.11.20,3117.02,3125,3080.64,3105.47,2812150,
,2020.11.21,3099.4,3133.5185,3098.34,3117.02,3129824,
,2020.11.24,3098.39,3139.39,3065.02,3117.8,4364035,
,2020.11.25,3118.06,3134.43,3086.38,3100.01,3451219,
,2020.11.26,3185.07,3198.19,3140.055,3141.5,3590210,
,2020.11.28,3195.34,3216.3,3190.05,3209.87,2219423,
,2020.12.1,3168.04,3228.47,3125.27,3208.48,3739908,
,2020.12.2,3220.08,3250,3157.18,3189,4312347,
,2020.12.3,3203.53,3231.28,3173.23,3220.33,2895591,
,2020.12.4,3186.73,3229,3181.48,3205.46,2735063,
,2020.12.5,3162.58,3198.21,3158.31,3198.21,2760699,
,2020.12.8,3158,3180.99,3141.01,3156.48,2441310,
,2020.12.9,3177.29,3186.5,3120,3156.8,3127527,
,2020.12.10,3104.2,3174.43,3088,3167.89,3899862,
,2020.12.11,3101.49,3142.29,3075.51,3091.75,2736809,
,2020.12.12,3116.42,3118.79,3072.81,3096.66,2957680,
,2020.12.15,3156.97,3190.54,3126,3143.96,3928660,
,2020.12.16,3165.12,3188.32,3130.41,3182,3115397,
