time,exchangerate,koreastockIndex,housingloan,avrsellingpriceapt,avrunitpriceapt
13.06,"1,149.70","1,884.41","399,763.60","249,330","3,055"
'13.07,"1,113.60","1,871.77","399,803.10","248,705","3,049"
'13.08,"1,110.90","1,896.96","400,943.60","248,058","3,042"
'13.09,"1,075.60","1,984.39","401,572.20","248,189","3,046"
'13.10,"1,061.40","2,029.68","403,757.60","249,144","3,060"
'13.11,"1,062.10","2,009.92","406,464.00","249,657","3,068"
'13.12,"1,055.30","1,988.33","410,177.20","250,066","3,074"
'14.01,"1,079.20","1,948.22","409,978.80","252,332","3,104"
'14.02,"1,067.70","1,937.73","411,749.80","253,063","3,114"
'14.03,"1,068.80","1,952.43","413,961.00","253,977","3,127"
'14.04,"1,031.70","1,991.19","417,289.40","254,180","3,130"
'14.05,"1,021.60","1,994.13","419,764.50","254,179","3,131"
'14.06,"1,014.40","1,995.08","423,608.40","254,207","3,132"
'14.07,"1,024.30","2,021.95","427,356.90","254,273","3,133"
'14.08,"1,013.60","2,060.93","432,501.50","254,646","3,139"
'14.09,"1,050.60","2,042.71","436,656.40","255,658","3,153"
'14.10,"1,054.00","1,942.80","442,106.60","256,639","3,166"
'14.11,"1,101.10","1,959.65","447,030.30","257,252","3,174"
'14.12,"1,099.20","1,941.93","452,031.30","257,685","3,179"
'15.01,"1,090.80","1,920.99","453,264.00","256,960","3,170"
'15.02,"1,099.20","1,961.00","457,004.10","257,770","3,181"
'15.03,"1,105.00","2,012.62","460,982.40","258,966","3,196"
'15.04,"1,068.10","2,107.27","468,824.00","260,724","3,219"
'15.05,"1,108.00","2,114.90","469,218.00","262,134","3,238"
'15.06,"1,124.10","2,063.69","457,614.50","263,642","3,258"
'15.07,"1,166.30","2,058.03","458,250.00","274,990","3,399"
'15.08,"1,176.30","1,952.55","464,677.10","276,080","3,413"
'15.09,"1,194.50","1,939.58","470,243.00","277,359","3,430"
'15.10,"1,142.30","2,020.57","477,560.60","278,709","3,448"
'15.11,"1,150.40","2,006.78","482,916.40","279,746","3,458"
'15.12,"1,172.00","1,971.53","490,826.10","280,443","3,467"
'16.01,"1,208.40","1,894.65","492,905.10","280,494","3,468"
'16.02,"1,235.40","1,900.61","494,445.90","280,335","3,465"
'16.03,"1,153.50","1,976.50","498,294.20","280,234","3,463"
'16.04,"1,143.90","1,996.17","503,768.80","280,278","3,464"
'16.05,"1,190.60","1,966.68","509,365.10","280,468","3,467"
'16.06,"1,164.70","1,977.03","515,249.60","280,692","3,469"
'16.07,"1,125.70","2,002.48","521,200.50","281,061","3,474"
'16.08,"1,118.50","2,036.66","527,287.50","281,537","3,480"
'16.09,"1,096.30","2,042.56","530,809.00","281,340","3,481"
'16.10,"1,145.20","2,036.03","536,140.40","282,377","3,494"
'16.11,"1,168.50","1,981.75","542,494.00","283,165","3,504"
'16.12,"1,208.50","2,021.67","545,839.60","283,287","3,506"
'17.01,"1,157.80","2,061.73","545,880.70","283,255","3,506"
'17.02,"1,132.10","2,082.80","547,746.00","283,334","3,508"
'17.03,"1,116.10","2,136.17","550,692.50","283,908","3,513"
'17.04,"1,130.10","2,160.18","553,204.10","284,256","3,518"
'17.05,"1,123.90","2,301.89","556,528.90","284,784","3,525"
'17.06,"1,139.60","2,372.20","560,141.50","286,026","3,540"
'17.07,"1,119.10","2,412.90","563,446.40","286,673","3,549"
'17.08,"1,122.80","2,372.18","566,589.70","287,768","3,563"
'17.09,"1,146.70","2,371.84","570,079.20","287,993","3,566"
'17.10,"1,125.00","2,482.87","572,997.60","288,461","3,572"
'17.11,"1,082.40","2,533.51","575,798.60","289,072","3,579"
'17.12,"1,071.40","2,467.73","578,312.90","313,552","3,933"
'18.01,"1,071.50","2,520.94","579,043.60","315,961","3,960"
'18.02,"1,071.00","2,439.10","580,327.00","318,503","3,989"
'18.03,"1,066.50","2,451.57","582,392.90","319,757","4,003"
'18.04,"1,076.20","2,458.22","583,879.70","320,248","4,008"
'18.05,"1,081.30","2,461.30","585,506.00","320,271","4,007"
'18.06,"1,121.70","2,394.51","587,660.80","320,157","4,004"
'18.07,"1,116.70","2,284.25","589,421.20","320,135","4,004"
'18.08,"1,108.80","2,283.80","592,145.60","320,944","4,012"
'18.09,"1,112.70","2,307.33","594,816.20","323,915","4,047"
'18.10,"1,140.60","2,153.48","597,077.50","325,205","4,062"
'18.11,"1,121.80","2,083.33","601,108.90","325,441","4,064"
'18.12,"1,118.10","2,070.13","604,487.70","325,014","4,058"
'19.01,"1,117.20","2,101.98","605,242.90","349,426","4,340"
'19.02,"1,117.80","2,210.20","606,385.00","348,312","4,326"
'19.03,"1,137.80","2,161.91","608,003.80","347,165","4,310"
'19.04,"1,158.20","2,212.12","610,359.10","345,809","4,292"
'19.05,"1,190.00","2,086.90","612,316.80","344,891","4,280"
'19.06,"1,156.80","2,086.90","614,818.20","344,322","4,272"
'19.07,"1,182.00","2,079.48","618,163.60","344,195","4,270"
'19.08,"1,215.20","1,944.24","622,183.70","344,332","4,270"
'19.09,"1,201.30","2,045.21","625,423.30","344,798","4,275"
'19.10,"1,168.40","2,065.75","629,655.50","346,156","4,291"
'19.11,"1,179.30","2,128.79","633,098.00","348,031","4,313"
'19.12,"1,157.80","2,147.01","633,745.40","351,787","4,358"
'20.01,"1,183.50","2,203.44","634,283.00","366,793","4,585"
'20.02,"1,215.90","2,167.12","635,282.90","368,783","4,609"
'20.03,"1,222.60","1,786.75","639,598.10","372,016","4,650"
'20.04,"1,225.20","1,849.59","644,393.00","373,252","4,666"
'20.05,"1,239.40","1,965.17","646,587.40","373,608","4,670"
'20.06,"1,200.70","2,134.70","648,637.70","375,821","4,697"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
