time	exchangerate	koreastockIndex	housingloan	avrsellingpriceapt	avrunitpriceapt
13.06	1150 	1884 	399764 	249330 	3055 
'13.07	1114 	1872 	399803 	248705 	3049 
'13.08	1111 	1897 	400944 	248058 	3042 
'13.09	1076 	1984 	401572 	248189 	3046 
'13.10	1061 	2030 	403758 	249144 	3060 
'13.11	1062 	2010 	406464 	249657 	3068 
'13.12	1055 	1988 	410177 	250066 	3074 
'14.01	1079 	1948 	409979 	252332 	3104 
'14.02	1068 	1938 	411750 	253063 	3114 
'14.03	1069 	1952 	413961 	253977 	3127 
'14.04	1032 	1991 	417289 	254180 	3130 
'14.05	1022 	1994 	419765 	254179 	3131 
'14.06	1014 	1995 	423608 	254207 	3132 
'14.07	1024 	2022 	427357 	254273 	3133 
'14.08	1014 	2061 	432502 	254646 	3139 
'14.09	1051 	2043 	436656 	255658 	3153 
'14.10	1054 	1943 	442107 	256639 	3166 
'14.11	1101 	1960 	447030 	257252 	3174 
'14.12	1099 	1942 	452031 	257685 	3179 
'15.01	1091 	1921 	453264 	256960 	3170 
'15.02	1099 	1961 	457004 	257770 	3181 
'15.03	1105 	2013 	460982 	258966 	3196 
'15.04	1068 	2107 	468824 	260724 	3219 
'15.05	1108 	2115 	469218 	262134 	3238 
'15.06	1124 	2064 	457615 	263642 	3258 
'15.07	1166 	2058 	458250 	274990 	3399 
'15.08	1176 	1953 	464677 	276080 	3413 
'15.09	1195 	1940 	470243 	277359 	3430 
'15.10	1142 	2021 	477561 	278709 	3448 
'15.11	1150 	2007 	482916 	279746 	3458 
'15.12	1172 	1972 	490826 	280443 	3467 
'16.01	1208 	1895 	492905 	280494 	3468 
'16.02	1235 	1901 	494446 	280335 	3465 
'16.03	1154 	1977 	498294 	280234 	3463 
'16.04	1144 	1996 	503769 	280278 	3464 
'16.05	1191 	1967 	509365 	280468 	3467 
'16.06	1165 	1977 	515250 	280692 	3469 
'16.07	1126 	2002 	521201 	281061 	3474 
'16.08	1119 	2037 	527288 	281537 	3480 
'16.09	1096 	2043 	530809 	281340 	3481 
'16.10	1145 	2036 	536140 	282377 	3494 
'16.11	1169 	1982 	542494 	283165 	3504 
'16.12	1209 	2022 	545840 	283287 	3506 
'17.01	1158 	2062 	545881 	283255 	3506 
'17.02	1132 	2083 	547746 	283334 	3508 
'17.03	1116 	2136 	550693 	283908 	3513 
'17.04	1130 	2160 	553204 	284256 	3518 
'17.05	1124 	2302 	556529 	284784 	3525 
'17.06	1140 	2372 	560142 	286026 	3540 
'17.07	1119 	2413 	563446 	286673 	3549 
'17.08	1123 	2372 	566590 	287768 	3563 
'17.09	1147 	2372 	570079 	287993 	3566 
'17.10	1125 	2483 	572998 	288461 	3572 
'17.11	1082 	2534 	575799 	289072 	3579 
'17.12	1071 	2468 	578313 	313552 	3933 
'18.01	1072 	2521 	579044 	315961 	3960 
'18.02	1071 	2439 	580327 	318503 	3989 
'18.03	1067 	2452 	582393 	319757 	4003 
'18.04	1076 	2458 	583880 	320248 	4008 
'18.05	1081 	2461 	585506 	320271 	4007 
'18.06	1122 	2395 	587661 	320157 	4004 
'18.07	1117 	2284 	589421 	320135 	4004 
'18.08	1109 	2284 	592146 	320944 	4012 
'18.09	1113 	2307 	594816 	323915 	4047 
'18.10	1141 	2153 	597078 	325205 	4062 
'18.11	1122 	2083 	601109 	325441 	4064 
'18.12	1118 	2070 	604488 	325014 	4058 
'19.01	1117 	2102 	605243 	349426 	4340 
'19.02	1118 	2210 	606385 	348312 	4326 
'19.03	1138 	2162 	608004 	347165 	4310 
'19.04	1158 	2212 	610359 	345809 	4292 
'19.05	1190 	2087 	612317 	344891 	4280 
'19.06	1157 	2087 	614818 	344322 	4272 
'19.07	1182 	2079 	618164 	344195 	4270 
'19.08	1215 	1944 	622184 	344332 	4270 
'19.09	1201 	2045 	625423 	344798 	4275 
'19.10	1168 	2066 	629656 	346156 	4291 
'19.11	1179 	2129 	633098 	348031 	4313 
'19.12	1158 	2147 	633745 	351787 	4358 
'20.01	1184 	2203 	634283 	366793 	4585 
'20.02	1216 	2167 	635283 	368783 	4609 
'20.03	1223 	1787 	639598 	372016 	4650 
'20.04	1225 	1850 	644393 	373252 	4666 
'20.05	1239 	1965 	646587 	373608 	4670 
'20.06	1201 	2135 	648638 	375821 	4697 
