time	exchangerate	koreastockIndex	fixeddepositrate	housingloan	avrsellingpriceapt	avrunitpriceapt
'13.06	1149.70 	1884.41 	2.63 	399763.60 	249330.00 	3055.00 
'13.07	1113.60 	1871.77 	2.60 	399803.10 	248705.00 	3049.00 
'13.08	1110.90 	1896.96 	2.60 	400943.60 	248058.00 	3042.00 
'13.09	1075.60 	1984.39 	2.61 	401572.20 	248189.00 	3046.00 
'13.10	1061.40 	2029.68 	2.59 	403757.60 	249144.00 	3060.00 
'13.11	1062.10 	2009.92 	2.58 	406464.00 	249657.00 	3068.00 
'13.12	1055.30 	1988.33 	2.66 	410177.20 	250066.00 	3074.00 
'14.01	1079.20 	1948.22 	2.63 	409978.80 	252332.00 	3104.00 
'14.02	1067.70 	1937.73 	2.62 	411749.80 	253063.00 	3114.00 
'14.03	1068.80 	1952.43 	2.58 	413961.00 	253977.00 	3127.00 
'14.04	1031.70 	1991.19 	2.58 	417289.40 	254180.00 	3130.00 
'14.05	1021.60 	1994.13 	2.57 	419764.50 	254179.00 	3131.00 
'14.06	1014.40 	1995.08 	2.55 	423608.40 	254207.00 	3132.00 
'14.07	1024.30 	2021.95 	2.47 	427356.90 	254273.00 	3133.00 
'14.08	1013.60 	2060.93 	2.35 	432501.50 	254646.00 	3139.00 
'14.09	1050.60 	2042.71 	2.27 	436656.40 	255658.00 	3153.00 
'14.10	1054.00 	1942.80 	2.17 	442106.60 	256639.00 	3166.00 
'14.11	1101.10 	1959.65 	2.10 	447030.30 	257252.00 	3174.00 
'14.12	1099.20 	1941.93 	2.16 	452031.30 	257685.00 	3179.00 
'15.01	1090.80 	1920.99 	2.08 	453264.00 	256960.00 	3170.00 
'15.02	1099.20 	1961.00 	2.02 	457004.10 	257770.00 	3181.00 
'15.03	1105.00 	2012.62 	1.90 	460982.40 	258966.00 	3196.00 
'15.04	1068.10 	2107.27 	1.76 	468824.00 	260724.00 	3219.00 
'15.05	1108.00 	2114.90 	1.73 	469218.00 	262134.00 	3238.00 
'15.06	1124.10 	2063.69 	1.65 	457614.50 	263642.00 	3258.00 
'15.07	1166.30 	2058.03 	1.54 	458250.00 	274990.00 	3399.00 
'15.08	1176.30 	1952.55 	1.52 	464677.10 	276080.00 	3413.00 
'15.09	1194.50 	1939.58 	1.51 	470243.00 	277359.00 	3430.00 
'15.10	1142.30 	2020.57 	1.56 	477560.60 	278709.00 	3448.00 
'15.11	1150.40 	2006.78 	1.64 	482916.40 	279746.00 	3458.00 
'15.12	1172.00 	1971.53 	1.72 	490826.10 	280443.00 	3467.00 
'16.01	1208.40 	1894.65 	1.63 	492905.10 	280494.00 	3468.00 
'16.02	1235.40 	1900.61 	1.56 	494445.90 	280335.00 	3465.00 
'16.03	1153.50 	1976.50 	1.54 	498294.20 	280234.00 	3463.00 
'16.04	1143.90 	1996.17 	1.54 	503768.80 	280278.00 	3464.00 
'16.05	1190.60 	1966.68 	1.53 	509365.10 	280468.00 	3467.00 
'16.06	1164.70 	1977.03 	1.43 	515249.60 	280692.00 	3469.00 
'16.07	1125.70 	2002.48 	1.31 	521200.50 	281061.00 	3474.00 
'16.08	1118.50 	2036.66 	1.30 	527287.50 	281537.00 	3480.00 
'16.09	1096.30 	2042.56 	1.33 	530809.00 	281340.00 	3481.00 
'16.10	1145.20 	2036.03 	1.39 	536140.40 	282377.00 	3494.00 
'16.11	1168.50 	1981.75 	1.49 	542494.00 	283165.00 	3504.00 
